python3 main.py
04-18 16:31 --------------------------------------------------
04-18 16:31 Load data files..
04-18 16:31 ********** Train
04-18 16:31 #Examples: 1000
04-18 16:31 ********** Dev
04-18 16:31 #Examples: 100
04-18 16:31 --------------------------------------------------
04-18 16:31 Build dictionary..
04-18 16:31 #Words: 23361 -> 23361
04-18 16:31 ('the', 40156)
04-18 16:31 (',', 37380)
04-18 16:31 ('.', 31315)
04-18 16:31 ('"', 19044)
04-18 16:31 ('to', 19016)
04-18 16:31 ...
04-18 16:31 ('da', 1)
04-18 16:31 ('34million', 1)
04-18 16:31 ('co-ownership', 1)
04-18 16:31 ('islamic', 1)
04-18 16:31 ('conclusively', 1)
04-18 16:31 Entity markers: 528
04-18 16:31 --------------------------------------------------
04-18 16:31 Load embedding file..
04-18 16:31 Embeddings: 23363 x 100
04-18 16:31 Loading embedding file: data/glove/glove.6B.100d.txt
04-18 16:31 Pre-trained: 22328 (95.57%)
04-18 16:31 
	debug:	True
	test_only:	False
	data_path:	data/
	embedding_file:	data/glove/glove.6B.100d.txt
	train_file:	data/cnn/train.txt
	dev_file:	data/cnn/dev.txt
	test_file:	data/cnn/test.txt
	log_file:	None
	save_path:	model/
	hidden_size:	128
	num_layers:	1
	batch_size:	32
	num_epoches:	5
	eval_iter:	100
	dropout_rate:	0.8
	learning_rate:	0.1
	grad_clipping:	10.0
	embedding_size:	100
	num_train:	1000
	num_dev:	100
	num_labels:	528
	vocab_size:	23363

04-18 16:31 --------------------------------------------------
04-18 16:31 Vectorize test data..
04-18 16:31 Vectorization: processed 0 / 100
04-18 16:31 --------------------------------------------------
04-18 16:31 Vectorize training data..
04-18 16:31 Vectorization: processed 0 / 1000
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
WARNING:tensorflow:Standard services need a 'logdir' passed to the SessionManager
04-18 16:33   6% acc: 25.00% loss: 2.12 time: 3.12
04-18 16:33   10% acc: 22.66% loss: 3.22 time: 4.36
04-18 16:33   13% acc: 20.00% loss: 2.62 time: 5.62
04-18 16:33   16% acc: 17.71% loss: 3.10 time: 7.00
04-18 16:33   19% acc: 18.30% loss: 2.93 time: 8.65
04-18 16:33   23% acc: 17.97% loss: 3.06 time: 10.40
04-18 16:33   26% acc: 17.71% loss: 3.58 time: 12.16
04-18 16:33   29% acc: 18.12% loss: 3.28 time: 14.14
04-18 16:33   32% acc: 17.33% loss: 3.27 time: 16.23
04-18 16:33   35% acc: 16.67% loss: 2.91 time: 18.18
04-18 16:33   39% acc: 15.87% loss: 2.63 time: 20.31
04-18 16:33   42% acc: 16.52% loss: 3.11 time: 22.91
04-18 16:33   45% acc: 16.46% loss: 3.06 time: 25.45
04-18 16:33   48% acc: 16.21% loss: 2.98 time: 28.10
04-18 16:33   52% acc: 15.81% loss: 3.67 time: 30.99
04-18 16:33   55% acc: 15.62% loss: 3.28 time: 33.91
04-18 16:33   58% acc: 15.79% loss: 2.93 time: 37.04
04-18 16:33   61% acc: 16.09% loss: 2.94 time: 40.21
04-18 16:33   65% acc: 15.92% loss: 3.36 time: 43.72
04-18 16:33   68% acc: 16.34% loss: 2.80 time: 47.14
04-18 16:33   71% acc: 16.03% loss: 3.30 time: 50.69
04-18 16:33   74% acc: 16.15% loss: 3.04 time: 54.51
04-18 16:33   77% acc: 15.50% loss: 3.53 time: 58.40
04-18 16:34   81% acc: 15.87% loss: 3.23 time: 62.30
04-18 16:34   84% acc: 15.39% loss: 3.93 time: 67.02
04-18 16:34   87% acc: 15.07% loss: 3.61 time: 71.91
04-18 16:34   90% acc: 14.98% loss: 3.21 time: 77.08
04-18 16:34   94% acc: 15.21% loss: 3.37 time: 82.42
04-18 16:34   97% acc: 15.42% loss: 2.87 time: 89.14
04-18 16:34 Epoch: 2 Train acc: 15.42%
04-18 16:34 Epoch: 2 Valid acc: 19.79%
04-18 16:34   0% acc: 31.25% loss: 2.08 time: 0.86
04-18 16:34   3% acc: 29.69% loss: 2.55 time: 1.83
04-18 16:34   6% acc: 30.21% loss: 2.05 time: 3.03
04-18 16:34   10% acc: 27.34% loss: 3.05 time: 4.18
04-18 16:34   13% acc: 23.75% loss: 2.49 time: 5.58
04-18 16:34   16% acc: 20.83% loss: 2.94 time: 7.11
04-18 16:34   19% acc: 20.98% loss: 2.74 time: 8.80
04-18 16:34   23% acc: 20.31% loss: 2.86 time: 10.51
04-18 16:34   26% acc: 19.79% loss: 3.42 time: 12.37
04-18 16:34   29% acc: 20.00% loss: 3.15 time: 14.22
04-18 16:34   32% acc: 19.03% loss: 3.07 time: 16.41
04-18 16:34   35% acc: 18.23% loss: 2.82 time: 18.63
04-18 16:34   39% acc: 17.31% loss: 2.57 time: 20.94
04-18 16:34   42% acc: 17.86% loss: 2.99 time: 23.49
04-18 16:34   45% acc: 17.71% loss: 2.98 time: 26.01
04-18 16:35   48% acc: 17.58% loss: 2.87 time: 28.73
04-18 16:35   52% acc: 17.10% loss: 3.51 time: 31.54
04-18 16:35   55% acc: 17.01% loss: 3.19 time: 34.49
04-18 16:35   58% acc: 17.11% loss: 2.81 time: 37.51
04-18 16:35   61% acc: 17.34% loss: 2.94 time: 40.91
04-18 16:35   65% acc: 17.11% loss: 3.31 time: 44.28
04-18 16:35   68% acc: 17.47% loss: 2.76 time: 47.75
04-18 16:35   71% acc: 16.98% loss: 3.19 time: 51.44
04-18 16:35   74% acc: 17.19% loss: 2.97 time: 55.23
04-18 16:35   77% acc: 16.75% loss: 3.47 time: 59.17
04-18 16:35   81% acc: 17.07% loss: 3.17 time: 63.29
04-18 16:35   84% acc: 16.55% loss: 3.78 time: 67.87
04-18 16:35   87% acc: 16.18% loss: 3.47 time: 72.76
04-18 16:35   90% acc: 16.06% loss: 3.10 time: 78.06
04-18 16:35   94% acc: 16.25% loss: 3.28 time: 83.50
04-18 16:36   97% acc: 16.43% loss: 2.82 time: 90.33
04-18 16:36 Epoch: 3 Train acc: 16.43%
04-18 16:36 Epoch: 3 Valid acc: 19.79%
04-18 16:36   0% acc: 34.38% loss: 2.01 time: 0.82
04-18 16:36   3% acc: 31.25% loss: 2.46 time: 1.93
04-18 16:36   6% acc: 32.29% loss: 2.00 time: 3.15
04-18 16:36   10% acc: 28.91% loss: 3.00 time: 4.54
04-18 16:36   13% acc: 25.00% loss: 2.41 time: 6.03
04-18 16:36   16% acc: 22.40% loss: 2.88 time: 7.61
04-18 16:36   19% acc: 22.32% loss: 2.66 time: 9.31
04-18 16:36   23% acc: 21.48% loss: 2.75 time: 11.13
04-18 16:36   26% acc: 20.83% loss: 3.21 time: 13.07
04-18 16:36   29% acc: 21.25% loss: 3.00 time: 15.13
04-18 16:36   32% acc: 20.17% loss: 2.93 time: 17.06
04-18 16:36   35% acc: 19.79% loss: 2.80 time: 19.14
04-18 16:36   39% acc: 18.75% loss: 2.62 time: 21.47
04-18 16:36   42% acc: 19.20% loss: 2.93 time: 23.99
04-18 16:36   45% acc: 19.17% loss: 2.94 time: 26.61
04-18 16:36   48% acc: 19.53% loss: 2.82 time: 29.47
04-18 16:36   52% acc: 18.93% loss: 3.47 time: 32.38
04-18 16:36   55% acc: 19.10% loss: 3.10 time: 35.41
04-18 16:36   58% acc: 19.08% loss: 2.76 time: 38.60
04-18 16:36   61% acc: 19.22% loss: 2.91 time: 41.86
04-18 16:36   65% acc: 18.90% loss: 3.23 time: 45.12
04-18 16:36   68% acc: 19.18% loss: 2.73 time: 48.69
04-18 16:37   71% acc: 18.61% loss: 3.18 time: 52.44
04-18 16:37   74% acc: 18.36% loss: 2.95 time: 56.29
04-18 16:37   77% acc: 17.62% loss: 3.43 time: 60.27
04-18 16:37   81% acc: 17.91% loss: 3.08 time: 64.51
04-18 16:37   84% acc: 17.25% loss: 3.69 time: 69.02
04-18 16:37   87% acc: 16.85% loss: 3.39 time: 73.96
04-18 16:37   90% acc: 16.70% loss: 3.02 time: 79.14
04-18 16:37   94% acc: 16.88% loss: 3.22 time: 84.83
04-18 16:37   97% acc: 17.04% loss: 2.80 time: 91.63
04-18 16:37 Epoch: 4 Train acc: 17.04%
04-18 16:37 Epoch: 4 Valid acc: 20.83%
04-18 16:37   0% acc: 31.25% loss: 1.95 time: 0.87
04-18 16:37   3% acc: 28.12% loss: 2.38 time: 1.90
04-18 16:37   6% acc: 32.29% loss: 1.94 time: 3.13
04-18 16:37   10% acc: 30.47% loss: 2.93 time: 4.53
04-18 16:37   13% acc: 26.88% loss: 2.37 time: 5.94
04-18 16:37   16% acc: 23.44% loss: 2.86 time: 7.45
04-18 16:37   19% acc: 23.21% loss: 2.64 time: 9.02
04-18 16:37   23% acc: 22.27% loss: 2.76 time: 10.85
04-18 16:37   26% acc: 21.53% loss: 3.17 time: 12.74
04-18 16:37   29% acc: 21.88% loss: 2.93 time: 14.69
04-18 16:38   32% acc: 20.74% loss: 2.84 time: 16.68
04-18 16:38   35% acc: 20.05% loss: 2.79 time: 18.76
04-18 16:38   39% acc: 19.71% loss: 2.70 time: 21.07
04-18 16:38   42% acc: 19.87% loss: 2.91 time: 23.58
04-18 16:38   45% acc: 19.58% loss: 2.98 time: 26.20
04-18 16:38   48% acc: 19.92% loss: 2.83 time: 28.98
04-18 16:38   52% acc: 19.12% loss: 3.45 time: 31.78
04-18 16:38   55% acc: 18.92% loss: 3.11 time: 34.82
04-18 16:38   58% acc: 18.91% loss: 2.75 time: 38.09
04-18 16:38   61% acc: 19.22% loss: 2.90 time: 41.42
04-18 16:38   65% acc: 18.90% loss: 3.22 time: 44.95
04-18 16:38   68% acc: 19.18% loss: 2.75 time: 48.35
04-18 16:38   71% acc: 18.75% loss: 3.16 time: 50.51
04-18 16:38   74% acc: 18.75% loss: 2.94 time: 52.54
04-18 16:38   77% acc: 18.12% loss: 3.40 time: 54.65
04-18 16:38   81% acc: 18.39% loss: 3.07 time: 56.89
04-18 16:38   84% acc: 17.94% loss: 3.64 time: 59.28
04-18 16:38   87% acc: 17.52% loss: 3.33 time: 61.85
04-18 16:38   90% acc: 17.46% loss: 3.02 time: 64.63
04-18 16:38   94% acc: 17.60% loss: 3.17 time: 67.68
04-18 16:38   97% acc: 17.74% loss: 2.80 time: 71.37
04-18 16:38 Epoch: 5 Train acc: 17.74%
04-18 16:38 Epoch: 5 Valid acc: 20.83%

04-18 17:18 Epoch: 5 Train acc: 16.13%
04-18 17:18 Epoch: 5 Valid acc: 19.79%

04-18 18:24 Epoch: 5 Train acc: 17.24%
04-18 18:24 Epoch: 5 Valid acc: 20.83%







python2 code/main.py 
04-17 16:59 code/main.py
04-17 16:59 --------------------------------------------------
04-17 16:59 Load data files..
04-17 16:59 ********** Train
04-17 16:59 #Examples: 1000
04-17 16:59 ********** Dev
04-17 16:59 #Examples: 100
04-17 16:59 --------------------------------------------------
04-17 16:59 Build dictionary..
04-17 16:59 #Words: 23362 -> 23362
04-17 16:59 ('the', 40156)
04-17 16:59 (',', 37380)
04-17 16:59 ('.', 31315)
04-17 16:59 ('"', 19044)
04-17 16:59 ('to', 19016)
04-17 16:59 ...
04-17 16:59 ('overspending', 1)
04-17 16:59 ('lance', 1)
04-17 16:59 ('junk', 1)
04-17 16:59 ('rotting', 1)
04-17 16:59 ('mosaics', 1)
04-17 16:59 Entity markers: 528
04-17 16:59 --------------------------------------------------
04-17 16:59 Embeddings: 23364 x 100
04-17 16:59 Loading embedding file: /home/lzh/work/python/qa-rc/rc-cnn-dailymail/data/glove/glove.6B.100d.txt
04-17 16:59 Pre-trained: 22328 (95.57%)
04-17 16:59 Compile functions..
04-17 16:59 #params: 2889376
04-17 16:59 <lasagne.layers.input.InputLayer object at 0x7fcf066e26d0>
04-17 16:59 <lasagne.layers.embedding.EmbeddingLayer object at 0x7fcf066e2750>
04-17 16:59 <lasagne.layers.input.InputLayer object at 0x7fcf066e2710>
04-17 16:59 <lasagne.layers.recurrent.GRULayer object at 0x7fcf069d7210>
04-17 16:59 <lasagne.layers.recurrent.GRULayer object at 0x7fcf069f54d0>
04-17 16:59 <lasagne.layers.merge.ConcatLayer object at 0x7fcf069d71d0>
04-17 16:59 <lasagne.layers.input.InputLayer object at 0x7fcf074bc4d0>
04-17 16:59 <lasagne.layers.embedding.EmbeddingLayer object at 0x7fcf069d7190>
04-17 16:59 <lasagne.layers.input.InputLayer object at 0x7fcf069d7150>
04-17 16:59 <lasagne.layers.recurrent.GRULayer object at 0x7fcf069fd590>
04-17 16:59 <lasagne.layers.recurrent.GRULayer object at 0x7fcf06a05350>
04-17 16:59 <lasagne.layers.merge.ConcatLayer object at 0x7fcf069fd450>
04-17 16:59 <nn_layers.BilinearAttentionLayer object at 0x7fcf06a0c2d0>
04-17 16:59 <lasagne.layers.dense.DenseLayer object at 0x7fcf06a0c410>
04-17 17:00 Done.
04-17 17:00 --------------------------------------------------
04-17 17:00 Namespace(att_func='bilinear', batch_size=32, bidir=True, debug=True, dev_file='/home/lzh/work/python/qa-rc/rc-cnn-dailymail/data/cnn/dev.txt', dropout_rate=0.0, embedding_file='/home/lzh/work/python/qa-rc/rc-cnn-dailymail/data/glove/glove.6B.100d.txt', embedding_size=100, eval_iter=100, grad_clipping=10.0, hidden_size=128, learning_rate=0.1, log_file=None, max_dev=None, model_file='model.pkl.gz', num_dev=100, num_epoches=5, num_labels=528, num_layers=1, num_train=1000, optimizer='sgd', pre_trained=None, random_seed=1013, relabeling=True, rnn_layer=<class 'lasagne.layers.recurrent.GRULayer'>, rnn_output_size=256, rnn_type='gru', test_only=False, train_file='/home/lzh/work/python/qa-rc/rc-cnn-dailymail/data/cnn/train.txt', vocab_size=23364)
04-17 17:00 --------------------------------------------------
04-17 17:00 Intial test..
04-17 17:00 Vectorization: processed 0 / 100
04-17 17:00 Dev accuracy: 2.00 %
04-17 17:00 --------------------------------------------------
04-17 17:00 Start training..
04-17 17:00 Vectorization: processed 0 / 1000
04-17 17:00 Epoch 0 iter 0 loss 2.46 time 1.15
04-17 17:00 Epoch 0 iter 1 loss 2.59 time 2.54
04-17 17:00 Epoch 0 iter 2 loss 2.46 time 4.13
04-17 17:00 Epoch 0 iter 3 loss 2.80 time 5.89
04-17 17:00 Epoch 0 iter 4 loss 2.53 time 7.74
04-17 17:00 Epoch 0 iter 5 loss 2.72 time 9.74
04-17 17:00 Epoch 0 iter 6 loss 2.46 time 11.85
04-17 17:00 Epoch 0 iter 7 loss 2.41 time 14.12
04-17 17:00 Epoch 0 iter 8 loss 2.71 time 17.04
04-17 17:00 Epoch 0 iter 9 loss 2.61 time 19.62
04-17 17:00 Epoch 0 iter 10 loss 2.83 time 22.33
04-17 17:00 Epoch 0 iter 11 loss 2.75 time 25.13
04-17 17:00 Epoch 0 iter 12 loss 2.59 time 28.14
04-17 17:00 Epoch 0 iter 13 loss 2.65 time 31.42
04-17 17:00 Epoch 0 iter 14 loss 3.04 time 34.88
04-17 17:01 Epoch 0 iter 15 loss 2.75 time 38.45
04-17 17:01 Epoch 0 iter 16 loss 2.99 time 42.13
04-17 17:01 Epoch 0 iter 17 loss 2.91 time 46.02
04-17 17:01 Epoch 0 iter 18 loss 2.73 time 50.12
04-17 17:01 Epoch 0 iter 19 loss 2.90 time 54.40
04-17 17:01 Epoch 0 iter 20 loss 2.89 time 58.78
04-17 17:01 Epoch 0 iter 21 loss 2.84 time 63.57
04-17 17:01 Epoch 0 iter 22 loss 3.21 time 68.66
04-17 17:01 Epoch 0 iter 23 loss 2.88 time 73.56
04-17 17:01 Epoch 0 iter 24 loss 3.02 time 78.89
04-17 17:01 Epoch 0 iter 25 loss 2.87 time 84.34
04-17 17:01 Epoch 0 iter 26 loss 3.18 time 90.29
04-17 17:02 Epoch 0 iter 27 loss 3.13 time 96.76
04-17 17:02 Epoch 0 iter 28 loss 3.00 time 103.73
04-17 17:02 Epoch 0 iter 29 loss 3.02 time 111.28
04-17 17:02 Epoch 0 iter 30 loss 3.00 time 122.08
04-17 17:02 Epoch 0 iter 31 loss 4.03 time 124.95
04-17 17:02 Epoch 1 iter 0 loss 2.16 time 126.34
04-17 17:02 Epoch 1 iter 1 loss 2.31 time 128.23
04-17 17:02 Epoch 1 iter 2 loss 2.11 time 129.95
04-17 17:02 Epoch 1 iter 3 loss 2.73 time 132.01
04-17 17:02 Epoch 1 iter 4 loss 2.37 time 134.30
04-17 17:02 Epoch 1 iter 5 loss 2.77 time 136.73
04-17 17:02 Epoch 1 iter 6 loss 2.42 time 139.14
04-17 17:02 Epoch 1 iter 7 loss 2.47 time 141.44
04-17 17:02 Epoch 1 iter 8 loss 2.66 time 144.03
04-17 17:02 Epoch 1 iter 9 loss 2.58 time 147.20
04-17 17:02 Epoch 1 iter 10 loss 2.75 time 152.40
04-17 17:02 Epoch 1 iter 11 loss 2.68 time 155.12
04-17 17:03 Epoch 1 iter 12 loss 2.48 time 158.14
04-17 17:03 Epoch 1 iter 13 loss 2.60 time 161.28
04-17 17:03 Epoch 1 iter 14 loss 2.97 time 165.36
04-17 17:03 Epoch 1 iter 15 loss 2.72 time 169.51
04-17 17:03 Epoch 1 iter 16 loss 2.98 time 173.28
04-17 17:03 Epoch 1 iter 17 loss 2.89 time 177.38
04-17 17:03 Epoch 1 iter 18 loss 2.69 time 181.48
04-17 17:03 Epoch 1 iter 19 loss 2.82 time 187.60
04-17 17:03 Epoch 1 iter 20 loss 2.86 time 193.60
04-17 17:03 Epoch 1 iter 21 loss 2.80 time 199.50
04-17 17:03 Epoch 1 iter 22 loss 3.15 time 205.43
04-17 17:03 Epoch 1 iter 23 loss 2.85 time 210.78
04-17 17:03 Epoch 1 iter 24 loss 2.98 time 215.77
04-17 17:04 Epoch 1 iter 25 loss 2.84 time 221.26
04-17 17:04 Epoch 1 iter 26 loss 3.19 time 227.14
04-17 17:04 Epoch 1 iter 27 loss 3.08 time 233.30
04-17 17:04 Epoch 1 iter 28 loss 2.93 time 240.18
04-17 17:04 Epoch 1 iter 29 loss 2.98 time 247.43
04-17 17:04 Epoch 1 iter 30 loss 2.93 time 256.11
04-17 17:04 Epoch 1 iter 31 loss 3.88 time 258.81
04-17 17:04 Epoch 2 iter 0 loss 2.10 time 259.90
04-17 17:04 Epoch 2 iter 1 loss 2.27 time 261.30
04-17 17:04 Epoch 2 iter 2 loss 2.09 time 263.04
04-17 17:04 Epoch 2 iter 3 loss 2.72 time 264.73
04-17 17:04 Epoch 2 iter 4 loss 2.35 time 266.51
04-17 17:04 Epoch 2 iter 5 loss 2.76 time 268.46
04-17 17:04 Epoch 2 iter 6 loss 2.42 time 270.59
04-17 17:04 Epoch 2 iter 7 loss 2.46 time 272.79
04-17 17:04 Epoch 2 iter 8 loss 2.63 time 275.12
04-17 17:05 Epoch 2 iter 9 loss 2.57 time 277.70
04-17 17:05 Epoch 2 iter 10 loss 2.71 time 280.34
04-17 17:05 Epoch 2 iter 11 loss 2.67 time 283.03
04-17 17:05 Epoch 2 iter 12 loss 2.46 time 285.98
04-17 17:05 Epoch 2 iter 13 loss 2.60 time 289.09
04-17 17:05 Epoch 2 iter 14 loss 2.93 time 292.35
04-17 17:05 Epoch 2 iter 15 loss 2.71 time 295.79
04-17 17:05 Epoch 2 iter 16 loss 2.97 time 299.65
04-17 17:05 Epoch 2 iter 17 loss 2.88 time 304.71
04-17 17:05 Epoch 2 iter 18 loss 2.68 time 309.71
04-17 17:05 Epoch 2 iter 19 loss 2.79 time 314.36
04-17 17:05 Epoch 2 iter 20 loss 2.86 time 319.33
04-17 17:05 Epoch 2 iter 21 loss 2.78 time 323.92
04-17 17:05 Epoch 2 iter 22 loss 3.11 time 329.32
04-17 17:05 Epoch 2 iter 23 loss 2.85 time 334.85
04-17 17:06 Epoch 2 iter 24 loss 2.96 time 341.70
04-17 17:06 Epoch 2 iter 25 loss 2.82 time 347.35
04-17 17:06 Epoch 2 iter 26 loss 3.19 time 354.37
04-17 17:06 Epoch 2 iter 27 loss 3.04 time 361.63
04-17 17:06 Epoch 2 iter 28 loss 2.89 time 368.33
04-17 17:06 Epoch 2 iter 29 loss 2.95 time 375.62
04-17 17:06 Epoch 2 iter 30 loss 2.90 time 384.36
04-17 17:06 Epoch 2 iter 31 loss 3.76 time 387.16
04-17 17:06 Epoch 3 iter 0 loss 2.06 time 388.23
04-17 17:06 Epoch 3 iter 1 loss 2.25 time 389.58
04-17 17:06 Epoch 3 iter 2 loss 2.07 time 391.13
04-17 17:06 Epoch 3 iter 3 loss 2.71 time 392.92
04-17 17:07 Train accuracy: 17.00 %
04-17 17:07 Dev accuracy: 8.00 %
04-17 17:07 Best dev accuracy: epoch = 3, n_udpates = 100, acc = 8.00 %
04-17 17:07 Epoch 3 iter 4 loss 2.34 time 406.73
04-17 17:07 Epoch 3 iter 5 loss 2.75 time 408.71
04-17 17:07 Epoch 3 iter 6 loss 2.42 time 410.85
04-17 17:07 Epoch 3 iter 7 loss 2.44 time 413.06
04-17 17:07 Epoch 3 iter 8 loss 2.61 time 415.42
04-17 17:07 Epoch 3 iter 9 loss 2.56 time 418.10
04-17 17:07 Epoch 3 iter 10 loss 2.69 time 421.00
04-17 17:07 Epoch 3 iter 11 loss 2.66 time 424.07
04-17 17:07 Epoch 3 iter 12 loss 2.45 time 427.42
04-17 17:07 Epoch 3 iter 13 loss 2.60 time 432.46
04-17 17:07 Epoch 3 iter 14 loss 2.91 time 436.64
04-17 17:07 Epoch 3 iter 15 loss 2.71 time 440.63
04-17 17:07 Epoch 3 iter 16 loss 2.96 time 444.27
04-17 17:07 Epoch 3 iter 17 loss 2.87 time 448.18
04-17 17:07 Epoch 3 iter 18 loss 2.67 time 452.16
04-17 17:08 Epoch 3 iter 19 loss 2.78 time 456.94
04-17 17:08 Epoch 3 iter 20 loss 2.86 time 462.68
04-17 17:08 Epoch 3 iter 21 loss 2.76 time 468.27
04-17 17:08 Epoch 3 iter 22 loss 3.09 time 473.18
04-17 17:08 Epoch 3 iter 23 loss 2.85 time 479.55
04-17 17:08 Epoch 3 iter 24 loss 2.95 time 485.64
04-17 17:08 Epoch 3 iter 25 loss 2.82 time 492.06
04-17 17:08 Epoch 3 iter 26 loss 3.19 time 498.31
04-17 17:08 Epoch 3 iter 27 loss 3.02 time 504.93
04-17 17:08 Epoch 3 iter 28 loss 2.86 time 512.10
04-17 17:09 Epoch 3 iter 29 loss 2.93 time 519.84
04-17 17:09 Epoch 3 iter 30 loss 2.88 time 531.26
04-17 17:09 Epoch 3 iter 31 loss 3.65 time 534.15
04-17 17:09 Epoch 4 iter 0 loss 2.04 time 535.50
04-17 17:09 Epoch 4 iter 1 loss 2.24 time 537.22
04-17 17:09 Epoch 4 iter 2 loss 2.05 time 538.86
